id,company,sector,city,language,subject,body,channel,status
draft_0001,شركة الواحة العقارية,real_estate,الرياض,ar,Dealix — نظام تشغيل ذكي لـ شركة الواحة العقارية,"السلام عليكم شركة الواحة العقارية،

leads العقارية الواردة عبر واتساب تضيع بدون نظام متابعة. Dealix يبني لكم Revenue OS يحوّل كل استفسار إلى pipeline مرئي يومياً.

Pilot 7 أيام بـ 499 ريال — نشتغل على leadsكم نحن، تشوفون النتيجة، ثم تقرّرون.
تناسبكم 20 دقيقة هذا الأسبوع؟

سامي
Dealix — https://dealix.me
العرض: https://dealix.me/proposal
حجز موعد: https://calendly.com/sami-assiri11/dealix-demo

[DRAFT_ONLY — يتطلب موافقة قبل الإرسال]",email,draft_only
draft_0002,شركة الواحة العقارية,real_estate,الرياض,en,Dealix — AI Operating System for شركة الواحة العقارية,"Hello شركة الواحة العقارية,

Real estate leads coming through WhatsApp and calls are lost without a structured follow-up system. Dealix builds you a Revenue OS that turns every inquiry into a visible daily pipeline.

7-day Pilot at 499 SAR — we do the work on your leads, you see the results, then decide.
Would 20 minutes this week work for you?

Sami
Dealix — https://dealix.me
Proposal: https://dealix.me/proposal
Book a call: https://calendly.com/sami-assiri11/dealix-demo

[DRAFT_ONLY — requires approval before sending]",email,draft_only
draft_0003,عيادة الأسنان الحديثة,clinics,الرياض,ar,Dealix — نظام تشغيل ذكي لـ عيادة الأسنان الحديثة,"السلام عليكم عيادة الأسنان الحديثة،

حجوزات العيادة تأتي من واتساب وتليفون وإنستغرام — بدون نظام. Dealix يربط الاستقبال والتقييمات والحجوزات في مسار واحد.

Pilot 7 أيام بـ 499 ريال — نشتغل على leadsكم نحن، تشوفون النتيجة، ثم تقرّرون.
تناسبكم 20 دقيقة هذا الأسبوع؟

سامي
Dealix — https://dealix.me
العرض: https://dealix.me/proposal
حجز موعد: https://calendly.com/sami-assiri11/dealix-demo

[DRAFT_ONLY — يتطلب موافقة قبل الإرسال]",email,draft_only
draft_0004,عيادة الأسنان الحديثة,clinics,الرياض,en,Dealix — AI Operating System for عيادة الأسنان الحديثة,"Hello عيادة الأسنان الحديثة,

Clinic bookings arrive through WhatsApp, phone, and Instagram — no system connecting them. Dealix builds a unified intake to booking to review management OS.

7-day Pilot at 499 SAR — we do the work on your leads, you see the results, then decide.
Would 20 minutes this week work for you?

Sami
Dealix — https://dealix.me
Proposal: https://dealix.me/proposal
Book a call: https://calendly.com/sami-assiri11/dealix-demo

[DRAFT_ONLY — requires approval before sending]",email,draft_only
draft_0005,مركز الرياض للتدريب والتطوير,training_centers,الرياض,ar,Dealix — نظام تشغيل ذكي لـ مركز الرياض للتدريب والتطوير,"السلام عليكم مركز الرياض للتدريب والتطوير،

التسجيل في الدورات يتم يدوياً، والـ leads تضيع. Dealix يبني لكم Growth Engine يتابع كل مسجل من أول استفسار حتى الشهادة.

Pilot 7 أيام بـ 499 ريال — نشتغل على leadsكم نحن، تشوفون النتيجة، ثم تقرّرون.
تناسبكم 20 دقيقة هذا الأسبوع؟

سامي
Dealix — https://dealix.me
العرض: https://dealix.me/proposal
حجز موعد: https://calendly.com/sami-assiri11/dealix-demo

[DRAFT_ONLY — يتطلب موافقة قبل الإرسال]",email,draft_only
draft_0006,مركز الرياض للتدريب والتطوير,training_centers,الرياض,en,Dealix — AI Operating System for مركز الرياض للتدريب والتطوير,"Hello مركز الرياض للتدريب والتطوير,

Course registrations are manual and slow, leads fall through. Dealix builds a Growth Engine that tracks every prospect from first inquiry to certificate.

7-day Pilot at 499 SAR — we do the work on your leads, you see the results, then decide.
Would 20 minutes this week work for you?

Sami
Dealix — https://dealix.me
Proposal: https://dealix.me/proposal
Book a call: https://calendly.com/sami-assiri11/dealix-demo

[DRAFT_ONLY — requires approval before sending]",email,draft_only
draft_0007,وكالة إبداع للتسويق الرقمي,agencies,الرياض,ar,Dealix — نظام تشغيل ذكي لـ وكالة إبداع للتسويق الرقمي,"السلام عليكم وكالة إبداع للتسويق الرقمي،

تقارير العملاء تُكتب يدوياً كل أسبوع. Dealix يبني Command Center للوكالة — كل عميل، كل مهمة، كل نتيجة في مكان واحد.

Pilot 7 أيام بـ 499 ريال — نشتغل على leadsكم نحن، تشوفون النتيجة، ثم تقرّرون.
تناسبكم 20 دقيقة هذا الأسبوع؟

سامي
Dealix — https://dealix.me
العرض: https://dealix.me/proposal
حجز موعد: https://calendly.com/sami-assiri11/dealix-demo

[DRAFT_ONLY — يتطلب موافقة قبل الإرسال]",email,draft_only
draft_0008,وكالة إبداع للتسويق الرقمي,agencies,الرياض,en,Dealix — AI Operating System for وكالة إبداع للتسويق الرقمي,"Hello وكالة إبداع للتسويق الرقمي,

Client reports are written manually each week. Dealix builds an Agency Command Center — every client, every task, every result in one dashboard.

7-day Pilot at 499 SAR — we do the work on your leads, you see the results, then decide.
Would 20 minutes this week work for you?

Sami
Dealix — https://dealix.me
Proposal: https://dealix.me/proposal
Book a call: https://calendly.com/sami-assiri11/dealix-demo

[DRAFT_ONLY — requires approval before sending]",email,draft_only
draft_0009,مطاعم الأصالة السعودية,restaurants,الرياض,ar,Dealix — نظام تشغيل ذكي لـ مطاعم الأصالة السعودية,"السلام عليكم مطاعم الأصالة السعودية،

تقييمات جوجل تتراكم بدون ردود منظمة. Dealix يبني Review Intelligence OS يحوّل كل تقييم إلى فرصة تحسين مع ردود جاهزة للمراجعة.

Pilot 7 أيام بـ 499 ريال — نشتغل على leadsكم نحن، تشوفون النتيجة، ثم تقرّرون.
تناسبكم 20 دقيقة هذا الأسبوع؟

سامي
Dealix — https://dealix.me
العرض: https://dealix.me/proposal
حجز موعد: https://calendly.com/sami-assiri11/dealix-demo

[DRAFT_ONLY — يتطلب موافقة قبل الإرسال]",email,draft_only
draft_0010,مطاعم الأصالة السعودية,restaurants,الرياض,en,Dealix — AI Operating System for مطاعم الأصالة السعودية,"Hello مطاعم الأصالة السعودية,

Google reviews pile up without organized responses. Dealix builds a Review Intelligence OS that turns every review into an improvement opportunity.

7-day Pilot at 499 SAR — we do the work on your leads, you see the results, then decide.
Would 20 minutes this week work for you?

Sami
Dealix — https://dealix.me
Proposal: https://dealix.me/proposal
Book a call: https://calendly.com/sami-assiri11/dealix-demo

[DRAFT_ONLY — requires approval before sending]",email,draft_only
