company_name,name_ar,sector,city,region,size_band,website,source_type,source_url,consent_status,opt_out,contact_channel,pain_hypothesis_en,pain_hypothesis_ar
Riyadh Premier Real Estate Group,مجموعة الرياض العقارية,real_estate,Riyadh,Central,mid,,sector_frame,https://www.monshaat.gov.sa,required_before_contact,false,public_website_contact_form,Lead follow-up scattered across WhatsApp and spreadsheets; slow response to inbound buyers,متابعة العملاء مبعثرة بين واتساب وإكسل؛ بطء الرد على المشترين الجدد
Jeddah Coastal Developments,تطوير جدة الساحلية,real_estate,Jeddah,Western,large,,sector_frame,https://www.rega.gov.sa,required_before_contact,false,public_website_contact_form,High inquiry volume but no ranked follow-up priority list,حجم استفسارات عالٍ بلا قائمة أولويات متابعة مرتّبة
Eastern Province Logistics Co,شركة لوجستيات المنطقة الشرقية,logistics,Dammam,Eastern,large,,sector_frame,https://tga.gov.sa,required_before_contact,false,public_switchboard,Manual quote-to-booking handoffs; revenue leakage in delayed follow-ups,تسليم يدوي من عرض السعر للحجز؛ هدر إيراد في تأخّر المتابعة
Jubail Industrial Freight Services,خدمات الشحن الصناعي بالجبيل,logistics,Jubail,Eastern,mid,,sector_frame,https://tga.gov.sa,required_before_contact,false,public_switchboard,Repeat-client renewals not tracked; reactive instead of proactive outreach,تجديدات العملاء المتكررين غير متتبَّعة؛ تواصل ردّ فعل لا استباقي
NorthStar Medical Clinics,عيادات نورث ستار الطبية,healthcare,Riyadh,Central,mid,,sector_frame,https://www.moh.gov.sa,required_before_contact,false,public_website_contact_form,Appointment no-shows and weak recall follow-up; PII-heavy data needs PDPL care,تغيّب المواعيد وضعف متابعة الاستدعاء؛ بيانات حساسة تتطلب PDPL
Jeddah Specialist Dental Network,شبكة جدة لطب الأسنان التخصصي,healthcare,Jeddah,Western,mid,,sector_frame,https://www.moh.gov.sa,required_before_contact,false,public_website_contact_form,Multi-branch booking fragmentation; no unified revenue view,تشتّت الحجز بين الفروع؛ لا رؤية موحّدة للإيراد
Eastern Health Polyclinics,مجمّعات الشرقية الطبية,healthcare,Khobar,Eastern,large,,sector_frame,https://www.moh.gov.sa,required_before_contact,false,public_switchboard,ZATCA e-invoice readiness and patient recall both manual,جاهزية فاتورة ZATCA واستدعاء المرضى كلاهما يدوي
Tadreeb Professional Academy,أكاديمية تدريب المهنية,training,Riyadh,Central,small,,sector_frame,https://tvtc.gov.sa,required_before_contact,false,public_website_contact_form,Inquiries don't convert to bookings; no structured nurture,الاستفسارات لا تتحول لحجوزات؛ لا رعاية منظَّمة
Western Skills Institute,معهد المهارات الغربية,training,Jeddah,Western,mid,,sector_frame,https://tvtc.gov.sa,required_before_contact,false,public_website_contact_form,Corporate training pipeline managed on email; proposals slip,خط تدريب الشركات يُدار بالبريد؛ العروض تتسرّب
Qassim Vocational Training Center,مركز القصيم للتدريب المهني,training,Buraidah,Qassim,small,,sector_frame,https://tvtc.gov.sa,required_before_contact,false,public_switchboard,Seasonal demand spikes overwhelm manual follow-up,ذروات الطلب الموسمية تُربك المتابعة اليدوية
