company,sector,website,public_contact,buyer_title,fit_score,priority,verification_status,why_fit,source,suggested_message_id,approval_status,next_action
OdooTec,ERP CRM,https://www.odootec.com/,Contact page,Founder / CEO / Sales Leader,85,A,URL_VERIFIED,Saudi Odoo/ERP implementation company selling B2B implementation services; can benefit from qualified opportunity intelligence,Web research,erp_crm_v1_en,Pending,confirm public contact path
ALIA ICT,ERP / ICT Services,https://www.aliaict.com/,Contact page,Founder / CEO / Sales Leader,85,A,URL_VERIFIED,Riyadh ICT firm offering ERP / software / cloud / cybersecurity / data services; strong B2B services fit,Web research,erp_crm_v1_en,Pending,confirm public contact path
LOGIX ERP,ERP,https://logix-erp.com/en/,Contact page,Founder / CEO / Sales Leader,85,A,URL_VERIFIED,ERP provider focused on Saudi/GCC market; clear B2B ERP offer with potential pipeline need,Web research,erp_crm_v1_en,Pending,confirm public contact path
Focus Softnet Saudi,ERP CRM,https://www.focussoftnet.com/sa/,Contact page,Sales / Partnerships / Country Manager,80,A,URL_VERIFIED,ERP and CRM provider with explicit Saudi market page; high-ticket B2B sales motion,Web research,erp_crm_v1_en,Pending,confirm public contact path
SowaanERP,ERP CRM,https://www.sowaanerp.sa/,Contact page,Founder / CEO / Sales Leader,80,A,URL_VERIFIED,ERP provider in Saudi Arabia with CRM modules; relevant for qualified opportunity targeting,Web research,erp_crm_v1_en,Pending,confirm public contact path
BetterTech Saudi,Odoo ERP,https://bettertech.sa/OdooServices.php,Contact page,Founder / CEO / Sales Leader,75,B,URL_VERIFIED,Odoo/ERP services in Saudi Arabia; B2B implementation offer,Web research,erp_crm_v1_en,Pending,confirm public contact path
TeleNoc,Odoo ERP,https://telenoc.org/odoo-services-in-saudi-arabia/,Contact page,Founder / CEO / Sales Leader,75,B,URL_VERIFIED,Odoo Gold Partner / Odoo services in Saudi Arabia; B2B ERP implementation market,Web research,erp_crm_v1_en,Pending,confirm public contact path
Saudi Irsal,ERP CRM,https://irsal-saudi.sa/services/erp-crm/,Contact page,Founder / CEO / Sales Leader,70,B,URL_VERIFIED,Offers ERP/CRM services; relevant but needs deeper qualification call,Web research,erp_crm_v1_en,Pending,confirm public contact path
Megamind IT Solutions,ERP,https://megamind-it.com/erp-solutionsoracle-ms-dynamics-odoo/,Contact page,Founder / CEO / Sales Leader,70,B,URL_VERIFIED,ERP solutions provider in Saudi Arabia (Oracle / MS Dynamics / Odoo); healthcare ERP angle may need vertical sample,Web research,erp_crm_v1_en,Pending,confirm public contact path
Penieltech KSA,ERP CRM,,Contact page,Sales / Partnerships,70,B,URL_NEEDS_VERIFICATION,Known regional ERP/CRM reseller (Sage / Tally / Zoho); often listed in Saudi ERP directories,Directory candidate,erp_crm_v1_en,Pending,verify URL and contact path before approval
Azdan Business Analytics,ERP,,Contact page,Founder / CEO,75,B,URL_NEEDS_VERIFICATION,Saudi ERP consulting brand publishing Saudi ERP directories; potential partnership angle,Directory candidate,erp_crm_v1_en,Pending,verify URL and contact path before approval
RealSoft,ERP,,Contact page,Sales / Country Manager,70,B,URL_NEEDS_VERIFICATION,Regional ERP vendor with Saudi presence; commonly listed in GCC ERP directories,Directory candidate,erp_crm_v1_en,Pending,verify URL and contact path before approval
ebs (Emirates Business Solutions) KSA,ERP,,Contact page,Sales / Country Manager,65,C,URL_NEEDS_VERIFICATION,GCC ERP partner network often active in Saudi market,Directory candidate,erp_crm_v1_en,Pending,verify URL and contact path before approval
Bevatel,CRM / Telephony,,Contact page,Sales / Partnerships,65,C,URL_NEEDS_VERIFICATION,Saudi cloud telephony player with CRM integrations; adjacency to CRM buyers,Directory candidate,erp_crm_v1_en,Pending,verify URL and contact path before approval
Beetrix ERP,ERP,,Contact page,Sales,65,C,URL_NEEDS_VERIFICATION,Regional ERP brand referenced in Saudi ERP directories,Directory candidate,erp_crm_v1_en,Pending,verify URL and contact path before approval
Edara ERP,ERP,,Contact page,Sales,65,C,URL_NEEDS_VERIFICATION,Arabic-first ERP brand frequently listed for Saudi SMB buyers,Directory candidate,erp_crm_v1_en,Pending,verify URL and contact path before approval
Daftra,ERP / Accounting,,Contact page,Sales / Partnerships,65,C,URL_NEEDS_VERIFICATION,Arabic SMB ERP/accounting player; CRM adjacency,Directory candidate,erp_crm_v1_en,Pending,verify URL and contact path before approval
Qoyod,Accounting / SMB ERP,,Contact page,Sales / Partnerships,60,C,URL_NEEDS_VERIFICATION,Saudi SMB accounting platform with CRM-adjacent customer base,Directory candidate,erp_crm_v1_en,Pending,verify URL and contact path before approval
ZATCA-ready ERP partners (group),ERP,,Contact page,Channel / Partnerships,65,C,URL_NEEDS_VERIFICATION,Group candidate: ZATCA e-invoicing certified ERP partners published by ZATCA partners directory,Directory candidate,erp_crm_v1_en,Pending,extract individual ZATCA partners before approval
Microsoft Dynamics Saudi partner (candidate 1),ERP CRM,,Contact page,Channel / Partnerships,70,B,URL_NEEDS_VERIFICATION,Microsoft partner directory candidate; Dynamics 365 implementation,Directory candidate,erp_crm_v1_en,Pending,select named partner from MS partner directory before approval
Microsoft Dynamics Saudi partner (candidate 2),ERP CRM,,Contact page,Channel / Partnerships,70,B,URL_NEEDS_VERIFICATION,Microsoft partner directory candidate; Dynamics 365 implementation,Directory candidate,erp_crm_v1_en,Pending,select named partner from MS partner directory before approval
SAP Saudi partner (candidate 1),ERP,,Contact page,Channel / Partnerships,70,B,URL_NEEDS_VERIFICATION,SAP partner directory candidate; SAP S/4HANA / Business One implementation,Directory candidate,erp_crm_v1_en,Pending,select named partner from SAP partner directory before approval
Salesforce Saudi partner (candidate 1),CRM,,Contact page,Channel / Partnerships,70,B,URL_NEEDS_VERIFICATION,Salesforce partner directory candidate; CRM implementation,Directory candidate,erp_crm_v1_en,Pending,select named partner from Salesforce partner directory before approval
Zoho Saudi partner (candidate 1),CRM,,Contact page,Channel / Partnerships,65,C,URL_NEEDS_VERIFICATION,Zoho partner directory candidate; CRM / Zoho One implementation,Directory candidate,erp_crm_v1_en,Pending,select named partner from Zoho partner directory before approval
HubSpot Saudi partner (candidate 1),CRM,,Contact page,Channel / Partnerships,65,C,URL_NEEDS_VERIFICATION,HubSpot solutions partner directory candidate; CRM / RevOps implementation,Directory candidate,erp_crm_v1_en,Pending,select named partner from HubSpot partner directory before approval
