company,contact,segment,pain_hypothesis,channel,motion,offer_id,status,next_action,next_action_date,priority,notes
REPLACE:وكالة من شبكتك 1,REPLACE:اسم المدير,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,linkedin_manual,A,ten_lead_audit,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,warm — عبّئ من CRM أو مقدمة شخصية
REPLACE:وكالة من شبكتك 2,REPLACE:شريك مؤسس,agency_wedge,CRM مليان بلا owner للمتابعة,email_warm,A,agency_proof_pack,not_contacted,طلب ديمو 10 دقائق,,high,warm — Motion A أولوية
REPLACE:وكالة من شبكتك 3,REPLACE:مدير عمليات,agency_wedge,لا proof أسبوعي للعميل,linkedin_manual,A,ten_lead_audit,message_drafted,مراجعة مسودة قبل إرسال,,medium,warm
REPLACE:مؤسس SaaS معروف,REPLACE:CEO,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,not_contacted,لغة Control Tower,,high,warm intro مطلوبة
REPLACE:شريك CRM/HubSpot,REPLACE:مستشار,crm_partner,يحتاج diagnostic قبل التنفيذ,email_warm,C,diagnostic_layer,not_contacted,عرض Proof قبل التنفيذ,,medium,Motion C
REPLACE:B2B خدمات معروفة,REPLACE:مدير مبيعات,direct_b2b,follow-up غير موثق,email_warm,B,governed_diagnostic,not_contacted,Discovery 30 دقيقة,,medium,Motion B
REPLACE:قاعة/فندق B2B,REPLACE:مدير فعاليات,hospitality,استفسارات حجز بلا owner,inbound,B,ten_lead_audit,replied,إرسال Risk Score,,medium,inbound warm
REPLACE:مطور عقاري,REPLACE:مدير مبيعات,real_estate_developer,تأخر رد على leads inbound,phone_task,B,ten_lead_audit,not_contacted,مكالمة 5 دقائق,,high,قطاع ICP ذهب
REPLACE:شريك وكالة محتمل,REPLACE:مدير شراكات,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,not_contacted,Partner one-pager,,high,warm partner
REPLACE:استشاري نمو,REPLACE:شريك,consulting_firm,عملاء يطلبون أتمتة بلا حوكمة,email_warm,A,agency_proof_pack,not_contacted,مسودة email warm,,medium,warm
REPLACE:تقنية B2B,REPLACE:CTO,saas,Pipeline بلا evidence,linkedin_manual,B,governed_diagnostic,not_contacted,تعليق LinkedIn ثم DM,,medium,warm
REPLACE:تجارة B2B بالجملة,REPLACE:مدير مبيعات,direct_b2b,تسعير يدوي وردود متأخرة,email_warm,B,governed_diagnostic,not_contacted,بريد warm مع Diagnostic,,high,قطاع سعودي كبير
سواعد للتسويق الإلكتروني,REPLACE:مدير حسابات,agency_wedge,إدارة حملات متعددة بلا نظام مركزي,linkedin_manual,A,ten_lead_audit,not_contacted,مسودة LinkedIn warm,,high,وكالة سعودية معروفة
نجوم الإعلام,REPLACE:مدير عمليات,agency_wedge,مشاريع إعلامية بلا Project OS,email_warm,A,agency_proof_pack,not_contacted,مسودة email warm,,medium,وكالة إعلام
مدى الإبداع,REPLACE:شريك مؤسس,agency_wedge,توسع الفريق بدون SOPs,linkedin_manual,A,ten_lead_audit,not_contacted,طلب مكالمة 15 دقيقة,,high,وكالة إبداع
بناء الرؤى العقارية,REPLACE:مدير مبيعات,real_estate_developer,leads من حملات Google بلا owner,phone_task,B,ten_lead_audit,not_contacted,مكالمة استكشافية,,high,مطور عقاري سعودي
روشن,REPLACE:مدير علاقات عملاء,real_estate_developer,كميات كبيرة من الاستفسارات تحتاج توزيع ذكي,email_warm,B,governed_diagnostic,not_contacted,بريد مخصص مع Risk Score,,high,علامة عقارية سعودية
الفعاليات السعودية,REPLACE:مدير فعاليات,hospitality,طلبات RFP وعروض أسعار بلا نظام,linkedin_manual,B,ten_lead_audit,not_contacted,مسودة LinkedIn warm,,medium,شركة فعاليات
الضيافة الراقية,REPLACE:مدير مبيعات,hospitality,حجوزات الشركات بلا متابعة نظامية,email_warm,B,ten_lead_audit,not_contacted,مسودة email warm,,medium,فنادق/ضيافة B2B
مدينة المعارض,REPLACE:مدير تجاري,hospitality,إدارة معارض متعددة بلا CRM موحد,linkedin_manual,B,governed_diagnostic,not_contacted,طلب ديمو 10 دقائق,,medium,مركز معارض
شركة التقنية المتقدمة,REPLACE:CTO,saas,فريق المبيعات يستخدم Excel بدل CRM,linkedin_manual,B,governed_diagnostic,not_contacted,تعليق LinkedIn ثم DM,,high,SaaS سعودي ناشئ
منصة التعلم الذكي,REPLACE:مدير نمو,saas,تسعير Enterprise بلا حوكمة,email_warm,D,executive_diagnostic,not_contacted,بريد لـ CEO,,medium,SaaS تعليم
حلول المستقبل,REPLACE:مدير مبيعات,b2b_services,عروض أسعار معقدة تأخذ أيام,email_warm,B,governed_diagnostic,not_contacted,مسودة email warm,,medium,خدمات B2B
الاستشارات الرقمية,REPLACE:شريك,consulting_firm,عملاء يطلبون أتمتة Sales Ops,email_warm,A,agency_proof_pack,not_contacted,Partner one-pager,,high,استشارات
نبراس للاستشارات,REPLACE:مدير مشاريع,consulting_firm,تسليم المشاريع بلا evidence مركزي,linkedin_manual,A,ten_lead_audit,not_contacted,مسودة LinkedIn warm,,medium,استشارات إدارية
المورد الذكي,REPLACE:مدير مبيعات,direct_b2b,طلبات الشراء متناثرة عبر WhatsApp,email_warm,B,ten_lead_audit,not_contacted,مسودة email warm,,high,B2B توزيع
التجارة السريعة,REPLACE:مدير عمليات,direct_b2b,مخزون + مبيعات بلا نظام موحد,phone_task,B,governed_diagnostic,not_contacted,مكالمة 5 دقائق,,medium,تجارة بالجملة
صيدلية المجتمع,REPLACE:مدير تشغيل,healthcare,طلبات جملة وتواصل مع الموردين بلا CRM,email_warm,B,ten_lead_audit,not_contacted,مسودة email warm,,medium,سلسلة صيدليات
عيادات الصحة الأولى,REPLACE:مدير علاقات مرضى,healthcare,مواعيد ومتابعات بلا نظام,linkedin_manual,B,ten_lead_audit,not_contacted,مسودة LinkedIn warm,,medium,عيادات
النقل الذكي,REPLACE:مدير عمليات,logistics,طلبات التوصيل بلا tracker موحد,email_warm,B,governed_diagnostic,not_contacted,مسودة email warm,,medium,خدمات لوجستية
الشحن السريع,REPLACE:مدير مبيعات,logistics,عقود B2B بلا renewal reminder,phone_task,B,ten_lead_audit,not_contacted,مكالمة استكشافية,,medium,شركة شحن
التمويل الرقمي,REPLACE:مدير نمو,fintech,إدارة فرص Enterprise بلا نظام,linkedin_manual,D,executive_diagnostic,not_contacted,بريد لـ CEO,,high,fintech سعودي
محفظتي,REPLACE:مدير منتج,fintech,onboarding الشركات يحتاج أتمتة,email_warm,D,executive_diagnostic,not_contacted,مسودة email warm,,medium,fintech
سوق المزارعين,REPLACE:مدير مبيعات,ecommerce_b2b,طلبات B2B متنوعة بلا نظام,email_warm,B,ten_lead_audit,not_contacted,مسودة email warm,,medium,ecommerce B2B
متجر الجملة,REPLACE:مدير عمليات,ecommerce_b2b,إدارة حسابات تجار الجملة يدوياً,linkedin_manual,B,governed_diagnostic,not_contacted,مسودة LinkedIn warm,,medium,ecommerce
الاتصالات المتكاملة,REPLACE:مدير حسابات,telecom,حسابات Enterprise بلا QBR منظم,email_warm,D,executive_diagnostic,not_contacted,بريد لـ CEO,,medium,اتصالات B2B
الحلول الأمنية,REPLACE:مدير مبيعات,cybersecurity,عقود صيانة سنوية بلا renewal tracker,email_warm,B,governed_diagnostic,not_contacted,مسودة email warm,,high,أمن سيبراني
السحابة الوطنية,REPLACE:مدير شريك,cloud_partner,شركاء يحتاجون تفعيل نظامي,partner_intro,C,diagnostic_layer,not_contacted,Partner one-pager,,high,شريك تقني
مختبرات الابتكار,REPLACE:مدير مشاريع,rd_partner,تتبع مشاريع R&D بلا نظام,email_warm,A,ten_lead_audit,not_contacted,مسودة email warm,,medium,شركة R&D
