company_name,sector,city,website,source_url,contact_channel,pain_hypothesis,recommended_offer,stage,next_action,owner_decision,notes
Dr. Sulaiman Al Habib Medical Group,clinics,Riyadh,https://hmg.com,https://hmg.com,manual_review,patient follow-up visibility may need review,Follow-up Recovery OS,research,review source,review,public research seed
Saudi German Health,clinics,Jeddah,https://saudigermanhealth.com,https://saudigermanhealth.com,manual_review,patient inquiry operations may need structured queue,Follow-up Recovery OS,research,review source,review,public research seed
ROSHN,real_estate,Riyadh,https://www.roshn.sa,https://www.roshn.sa,manual_review,lead and opportunity follow-up may need daily command view,Revenue Command Room OS,research,review source,review,public research seed
Dar Al Arkan,real_estate,Riyadh,https://www.daralarkan.com,https://www.daralarkan.com,manual_review,project inquiry follow-up may need next-action visibility,Revenue Command Room OS,research,review source,review,public research seed
Saudi Post SPL,logistics,Riyadh,https://splonline.com.sa,https://splonline.com.sa,manual_review,B2B service requests may need account follow-up visibility,Revenue Command Room OS,research,review source,review,public research seed
SAL Saudi Logistics Services,logistics,Jeddah,https://sal.sa,https://sal.sa,manual_review,enterprise account opportunities may need pipeline discipline,Revenue Command Room OS,research,review source,review,public research seed
Bakkah,training_centers,Riyadh,https://bakkah.com,https://bakkah.com,manual_review,course inquiry follow-up may need cohort pipeline control,Follow-up Recovery OS,research,review source,review,public research seed
Rwaq,training_centers,Riyadh,https://www.rwaq.org,https://www.rwaq.org,manual_review,learner follow-up may need operating queue,Follow-up Recovery OS,research,review source,review,public research seed
Lucidya,marketing_agencies,Riyadh,https://lucidya.com,https://lucidya.com,manual_review,customer intelligence follow-up may need executive command view,Revenue Command Room OS,research,review source,review,public research seed
Telfaz11,marketing_agencies,Riyadh,https://telfaz11.com,https://telfaz11.com,manual_review,client project reporting may need proof workflow,Client Delivery OS,research,review source,review,public research seed
Salla,b2b_services,Makkah,https://salla.com,https://salla.com,manual_review,merchant success workflows may need operating visibility,Revenue Command Room OS,research,review source,review,public research seed
Zid,b2b_services,Riyadh,https://zid.sa,https://zid.sa,manual_review,merchant growth workflows may need command reporting,Revenue Command Room OS,research,review source,review,public research seed
Foodics,b2b_services,Riyadh,https://www.foodics.com,https://www.foodics.com,manual_review,B2B onboarding follow-up may need command control,Revenue Command Room OS,research,review source,review,public research seed
Rewaa,b2b_services,Riyadh,https://www.rewaatech.com,https://www.rewaatech.com,manual_review,retail account pipeline may need visibility,Revenue Command Room OS,research,review source,review,public research seed
Qoyod,b2b_services,Riyadh,https://www.qoyod.com,https://www.qoyod.com,manual_review,SMB account lifecycle follow-up may need structured queue,Revenue Command Room OS,research,review source,review,public research seed
Unifonic,b2b_services,Riyadh,https://www.unifonic.com,https://www.unifonic.com,manual_review,enterprise account follow-up may need revenue command discipline,Revenue Command Room OS,research,review source,review,public research seed
Abdul Latif Jameel Motors,car_dealers,Jeddah,https://www.toyota.com.sa,https://www.toyota.com.sa,manual_review,lead and service follow-up may need operating discipline,Follow-up Recovery OS,research,review source,review,public research seed
Wallan Trading,car_dealers,Riyadh,https://wallan.com.sa,https://wallan.com.sa,manual_review,vehicle inquiry follow-up may need visibility,Follow-up Recovery OS,research,review source,review,public research seed
KPMG Saudi Arabia,legal_accounting,Riyadh,https://kpmg.com/sa,https://kpmg.com/sa,manual_review,proposal and client delivery proof may need executive operating view,Company Brain OS,research,review source,review,public research seed
Bayt,recruitment,Riyadh,https://www.bayt.com,https://www.bayt.com,manual_review,employer pipeline follow-up may need command visibility,Pipeline Command Room OS,research,review source,review,public research seed
