company,contact_title,sector,city,pain_angle,recommended_offer,email_hint,language_pref
شركة الواحة العقارية,مدير المبيعات,real_estate,الرياض,leads واتساب تضيع بدون متابعة منظمة — فرص يومية لا تُسجَّل,Revenue OS 499,info@,ar
مجموعة دار الأرقم للعقارات,المدير التنفيذي,real_estate,جدة,العملاء يتواصلون عبر واتساب وانستقرام بدون pipeline مرئي للمتابعة,Revenue OS 499,sales@,ar
شركة إتقان للتطوير العقاري,مدير تطوير الأعمال,real_estate,الدمام,تقييمات جوجل سلبية بدون ردود رسمية تضر سمعة المشاريع,Revenue OS 499,info@,ar
مكتب السلام للوساطة العقارية,صاحب المكتب,real_estate,مكة المكرمة,فريق المبيعات لا يتابع العملاء المحتملين بشكل منتظم ويفقد صفقات,Revenue OS 499,contact@,ar
شركة البنيان للاستثمار العقاري,مدير العمليات,real_estate,الرياض,عروض الوحدات تُرسَل يدوياً وتأخر الرد يُفقد المشتري,Revenue OS 499,info@,ar
شركة الأمواج للعقارات,مدير المبيعات,real_estate,جدة,لا يوجد نظام لتتبع مراحل الصفقة من الاستفسار حتى التوقيع,Revenue OS 499,sales@,ar
مجموعة الديار للإدارة العقارية,مدير الإدارة,real_estate,الخبر,إدارة العقارات المُؤجَّرة تعتمد على جداول Excel غير محدَّثة,Revenue OS 499,operations@,ar
شركة سدير للتطوير والاستثمار,الرئيس التنفيذي,real_estate,الرياض,طلبات الإيجار والبيع تأتي عبر قنوات متعددة بدون تجميع مركزي,Revenue OS 499,ceo@,ar
مكتب الأندلس للعقارات,صاحب المكتب,real_estate,المدينة المنورة,غياب التقرير الأسبوعي للمبيعات يجعل قرارات الإدارة بطيئة,Revenue OS 499,info@,ar
شركة الغدير للخدمات العقارية,مدير التسويق,real_estate,بريدة,حملات التسويق الرقمي لا تُربط بنتائج مبيعات قابلة للقياس,Revenue OS 499,marketing@,ar
مجموعة تبوك العقارية,مدير المشاريع,real_estate,تبوك,متابعة المشترين المحتملين للمشاريع السكنية تعتمد على الذاكرة الفردية,Revenue OS 499,info@,ar
شركة المشاعل للتطوير العقاري,مدير المبيعات,real_estate,أبها,فرص العملاء في المناطق الجنوبية تضيع لعدم وجود مندوب مخصص بنظام,Revenue OS 499,sales@,ar
شركة نخيل الذهب للوساطة,مستشار عقاري أول,real_estate,الرياض,العملاء الذين طلبوا تسعيرًا لم يُتابَعوا وانتقلوا للمنافسين,Revenue OS 499,info@,ar
شركة الأفق للتطوير العقاري,مدير تطوير الأعمال,real_estate,جدة,تقارير أداء فريق المبيعات تُعدَّ يدويًا كل شهر بدون دقة,Revenue OS 499,bd@,ar
عيادة الأسنان الحديثة,مدير العيادة,clinics,الرياض,حجوزات غير منظمة وتقييمات جوجل بدون ردود — المرضى لا يُتابَعون بعد الزيارة,Review OS + WhatsApp Revenue,booking@,ar
مركز الجلدية والتجميل المتقدم,المدير الطبي,clinics,جدة,المواعيد تُحجَز عبر واتساب بدون نظام تأكيد أو تذكير فيضيع 30% من المواعيد,Review OS + WhatsApp Revenue,info@,ar
عيادات العيون التخصصية,مدير العمليات,clinics,الدمام,التقييمات السلبية على جوجل لا تُعالَج بشكل منهجي وتؤثر على الحجوزات الجديدة,Review OS + WhatsApp Revenue,admin@,ar
مستشفى الشفاء التخصصي,مدير خدمة العملاء,clinics,الرياض,بيانات المرضى موزعة بين أنظمة متعددة بدون تقرير موحد للإدارة,Review OS + WhatsApp Revenue,info@,ar
مركز تجميل ونضارة,صاحبة المركز,clinics,جدة,عدم وجود نظام لمتابعة العملاء بعد الجلسة يُفقد الزيارات المتكررة,Review OS + WhatsApp Revenue,booking@,ar
عيادة الأطفال والعائلة,مدير العيادة,clinics,مكة المكرمة,الحجوزات تصل عبر واتساب وانستقرام ومكالمات بدون نظام مركزي,Review OS + WhatsApp Revenue,contact@,ar
مركز الليزر والتجميل الطبي,المدير التنفيذي,clinics,الخبر,غياب ردود على التقييمات الإيجابية يُقلل الظهور في البحث المحلي,Review OS + WhatsApp Revenue,info@,ar
عيادة الابتسامة لطب الأسنان,مدير الجودة,clinics,الرياض,جدول المرضى يُدار يدوياً ويتسبب في تعارض المواعيد أسبوعياً,Review OS + WhatsApp Revenue,admin@,ar
مستشفى الأمل التخصصي,مدير العمليات,clinics,أبها,تقارير رضا المرضى لا تُجمَع بشكل منتظم ولا تصل للإدارة العليا,Review OS + WhatsApp Revenue,operations@,ar
مركز صحة وجمال المرأة,المديرة الطبية,clinics,المدينة المنورة,العملاء الجدد يأتون من الانستقرام لكن لا يوجد متابعة ما بعد الاستشارة الأولى,Review OS + WhatsApp Revenue,info@,ar
عيادة النخبة لطب العيون,صاحب العيادة,clinics,بريدة,غياب نظام تذكير بالمواعيد يرفع نسبة عدم الحضور ويُخسر إيرادات يومية,Review OS + WhatsApp Revenue,booking@,ar
مركز الرياض للتدريب والتطوير,مدير التدريب,training_centers,الرياض,تسجيل الدورات يدوي وبطيء — leads التدريب تضيع قبل التواصل,Growth Engine OS 499,training@,ar
أكاديمية مهارات للتدريب المهني,مدير الأكاديمية,training_centers,جدة,المتدربون يستفسرون عبر واتساب بدون نظام تأهيل وتسجيل منظم,Growth Engine OS 499,info@,ar
معهد اللغات الدولية,المدير التنفيذي,training_centers,الدمام,الطاقة الاستيعابية لا تُعرَف بدقة ويُفرَّط في فرص الدفعات الجديدة,Growth Engine OS 499,register@,ar
مدرسة القيادة الوطنية,مدير العمليات,training_centers,الرياض,جداول التدريب تُعدَّل يدوياً بدون إشعارات آلية للطلاب,Growth Engine OS 499,info@,ar
