draft_id,company_name,vertical,channel,language,offer_name,priority_score,quality_score,compliance_score,requires_founder_approval,send_allowed,external_send_blocked,status
BATCH-2026-06-04-00002,Prospect 00002 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00005,Prospect 00005 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00008,Prospect 00008 (Legal & Professional Services),legal_professional_services,cold_email,en,Monthly Retainer,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00011,Prospect 00011 (Contracting & Project Controls),contracting_project_controls,cold_email,en,Paid Pilot,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00014,"Prospect 00014 (Consulting, Training & B2B Services)",consulting_training_b2b,cold_email,en,Enterprise Custom OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00017,Prospect 00017 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00020,Prospect 00020 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00023,Prospect 00023 (Legal & Professional Services),legal_professional_services,cold_email,en,Monthly Retainer,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00026,Prospect 00026 (Contracting & Project Controls),contracting_project_controls,cold_email,en,Paid Pilot,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00029,"Prospect 00029 (Consulting, Training & B2B Services)",consulting_training_b2b,cold_email,en,Enterprise Custom OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00032,Prospect 00032 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00035,Prospect 00035 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00038,Prospect 00038 (Legal & Professional Services),legal_professional_services,cold_email,en,Monthly Retainer,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00041,Prospect 00041 (Contracting & Project Controls),contracting_project_controls,cold_email,en,Paid Pilot,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00044,"Prospect 00044 (Consulting, Training & B2B Services)",consulting_training_b2b,cold_email,en,Enterprise Custom OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00047,Prospect 00047 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00050,Prospect 00050 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00053,Prospect 00053 (Legal & Professional Services),legal_professional_services,cold_email,en,Monthly Retainer,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00056,Prospect 00056 (Contracting & Project Controls),contracting_project_controls,cold_email,en,Paid Pilot,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00059,"Prospect 00059 (Consulting, Training & B2B Services)",consulting_training_b2b,cold_email,en,Enterprise Custom OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00062,Prospect 00062 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00065,Prospect 00065 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00068,Prospect 00068 (Legal & Professional Services),legal_professional_services,cold_email,en,Monthly Retainer,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00071,Prospect 00071 (Contracting & Project Controls),contracting_project_controls,cold_email,en,Paid Pilot,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00074,"Prospect 00074 (Consulting, Training & B2B Services)",consulting_training_b2b,cold_email,en,Enterprise Custom OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00077,Prospect 00077 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00080,Prospect 00080 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00083,Prospect 00083 (Legal & Professional Services),legal_professional_services,cold_email,en,Monthly Retainer,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00086,Prospect 00086 (Contracting & Project Controls),contracting_project_controls,cold_email,en,Paid Pilot,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00089,"Prospect 00089 (Consulting, Training & B2B Services)",consulting_training_b2b,cold_email,en,Enterprise Custom OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00092,Prospect 00092 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00095,Prospect 00095 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00098,Prospect 00098 (Legal & Professional Services),legal_professional_services,cold_email,en,Monthly Retainer,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00101,Prospect 00101 (Contracting & Project Controls),contracting_project_controls,cold_email,en,Paid Pilot,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00104,"Prospect 00104 (Consulting, Training & B2B Services)",consulting_training_b2b,cold_email,en,Enterprise Custom OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00107,Prospect 00107 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00110,Prospect 00110 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00113,Prospect 00113 (Legal & Professional Services),legal_professional_services,cold_email,en,Monthly Retainer,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00116,Prospect 00116 (Contracting & Project Controls),contracting_project_controls,cold_email,en,Paid Pilot,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00119,"Prospect 00119 (Consulting, Training & B2B Services)",consulting_training_b2b,cold_email,en,Enterprise Custom OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00122,Prospect 00122 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00125,Prospect 00125 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00128,Prospect 00128 (Legal & Professional Services),legal_professional_services,cold_email,en,Monthly Retainer,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00131,Prospect 00131 (Contracting & Project Controls),contracting_project_controls,cold_email,en,Paid Pilot,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00134,"Prospect 00134 (Consulting, Training & B2B Services)",consulting_training_b2b,cold_email,en,Enterprise Custom OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00137,Prospect 00137 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00140,Prospect 00140 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00143,Prospect 00143 (Legal & Professional Services),legal_professional_services,cold_email,en,Monthly Retainer,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00146,Prospect 00146 (Contracting & Project Controls),contracting_project_controls,cold_email,en,Paid Pilot,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00149,"Prospect 00149 (Consulting, Training & B2B Services)",consulting_training_b2b,cold_email,en,Enterprise Custom OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00152,Prospect 00152 (Real Estate & Property Operations),real_estate_property_ops,cold_email,en,Department OS,5.0,5,5,True,False,True,needs_review
BATCH-2026-06-04-00155,Prospect 00155 (Facilities Management & Maintenance),facilities_management,cold_email,en,AI Workflow Audit,5.0,5,5,True,False,True,needs_review
