Flow ID,Status,Data Category,Personal Data,Source,Purpose,Controller Role,Processor Role,Permission or Lawful-Basis Evidence,Systems,Current Region,Subprocessors,Retention,Deletion and Export,Suppression or Opt-out,Data-Subject Path,Security Controls,Cross-Border Decision,Owner,Evidence Link,Launch Gate
DF-001,allowed_with_source_review,Public company facts,no,Official company site or approved public registry,Account research and ICP fit,Dealix/customer to decide,Dealix to decide,Source URL and terms review,Commercial Intelligence,Saudi or source region,To inventory,90 days then refresh or delete,Delete stale evidence record,Not applicable,Not applicable,Source score and expiry,Not personal data but source terms still apply,Commercial Ops,Missing,Source registry approved
DF-002,blocked_until_review,Business contact identity,yes,Warm introduction or inbound form only,Qualification and approved follow-up,To decide in DPA,To decide in DPA,Introduction/inbound evidence plus notice,Opportunity Graph and CRM,To verify,To inventory,Define before import,Export/delete test required,Global suppression required,Documented request channel,Least privilege and tenant isolation,Counsel decision required,Privacy Owner,Missing,No real contact import
DF-003,blocked_without_opt_in,WhatsApp number and messages,yes,Recipient-supplied number and recorded opt-in,Requested WhatsApp conversation,To decide in DPA,Dealix/channel provider,Opt-in scope timestamp source and opt-out,WhatsApp Business Platform and Dealix,To verify,Meta and approved BSP if any,Define before activation,Delete/export procedure required,Immediate opt-out and contact removal,Published privacy/request channel,Approved templates 24-hour window human escalation,Counsel and subprocessor review required,Channel Owner,https://whatsappbusiness.com/policy/,No WhatsApp send
DF-004,approval_only,Email address and thread,yes,Warm/inbound or otherwise counsel-approved source,Relevant identified B2B follow-up,To decide in DPA,Dealix/email provider,Source purpose notice and suppression evidence,Email provider and Dealix,To verify,Provider to inventory,Define before activation,Delete/export procedure required,Global do-not-contact list,Published privacy/request channel,Approval queue and audit log,Counsel and transfer review required,Revenue Owner,Missing,No live email send
DF-005,company_signals_only,LinkedIn/public professional signal,possibly,Manual authorized viewing only,Company-level research and discovery questions,To decide,Dealix,Source URL and terms review,Commercial Intelligence,Source region,LinkedIn if used,Short-lived research note,Delete on source expiry,Do not use as consent,Documented request channel,No scraping bots or automated messaging,Review if personal data retained,Research Owner,https://www.linkedin.com/legal/user-agreement,No automation
DF-006,blocked_until_dpa,Customer CRM or spreadsheet,yes,Customer-authorized first-party export,One approved Pilot workflow and baseline,Customer unless counsel decides otherwise,Dealix as processor unless counsel decides otherwise,Signed SOW DPA purpose and field list,Secure intake DB and analytics,Production DB observed US West; verify,To inventory,Contract-specific minimum,Test export delete and backup handling,Apply customer suppression flags,Customer-routed request process,Tenant isolation encryption least privilege audit,Counsel decision required before access,Pilot Data Owner,Missing,No customer data access
DF-007,blocked_until_map,LLM prompt and output,possibly,Approved Pilot records,Analysis and draft generation only,Per DPA,Dealix and model provider chain,Approved field minimization and provider terms,LLM gateway and logs,Provider-specific,All model providers and gateways,Minimum required; no training unless contracted,Provider deletion/export evidence,Honor source suppression before prompt,Per DPA and provider capability,Redaction no secrets approval-only external action,Provider and transfer assessment required,AI Governance Owner,Missing,No personal prompt
DF-008,decision_required,Application database,yes,Dealix application,Persistent tenant and approval records,Dealix/customer to decide,Infrastructure provider,Data-flow approval,Railway Postgres,US West observed in founder evidence; re-verify,Railway and underlying cloud,Define by category,Deletion backup and restore drill,Central suppression ledger,Documented DSAR workflow,RLS encryption credentials rotation audit,Saudi counsel risk decision required,Platform Owner,GitHub issue #918,No paid Pilot
DF-009,blocked_until_map,Web hosting logs and analytics,possibly,Application and browser events,Security reliability and product analytics,Dealix,Hosting/analytics providers,Notice and minimization evidence,Vercel logs and analytics,Provider-specific,Vercel analytics and error vendors,Short and documented,Deletion/export capability review,Do not track suppressed identity,Privacy request channel,No raw message content or secrets in logs,Transfer assessment required,Platform Owner,Missing,No personal telemetry
DF-010,blocked_until_commercial_approval,Payment and invoice data,yes,Qualified customer and payment provider,Approved charge reconciliation and invoicing,Dealix/merchant to decide,Payment and invoice providers,Contract privacy notice and checkout approval,Moyasar Dealix ZATCA flow,Saudi/provider-specific,Moyasar ZATCA and invoicing provider,Tax/legal retention to be confirmed,Restricted deletion with legal hold mapping,Not marketing consent,Finance/privacy request process,Signature verification idempotency reconciliation,Map every recipient and region,Finance Owner,https://zatca.gov.sa/en/E-Invoicing/Pages/default.aspx,Checkout disabled
DF-011,blocked_until_test,Security incident and support record,possibly,Application and customer report,Support security and breach response,Per DPA,Dealix and support vendors,Incident purpose and access policy,Audit log support and incident tools,To verify,To inventory,Policy-defined,Deletion subject to evidence/legal hold,Suppress marketing separately,Escalation and request path,Immutable evidence access control redaction,Transfer assessment required,Security Owner,Missing,Breach drill required
