company_name,vertical,city,website_or_profile,source_url,suspected_pain,contact_channel,owner,status
training prospect 1,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 2,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 3,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 4,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 5,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 6,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 7,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 8,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 9,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 10,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 11,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 12,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 13,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 14,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 15,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 16,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 17,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 18,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 19,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 20,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 21,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 22,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 23,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 24,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
training prospect 25,training,Riyadh,,manual_research_needed,Need manual research before outreach,unknown,sami,research_needed
