Evidence ID,Gate,Status,Data Scope,Environment,Verification Method,Pass Criteria,Required Output,Owner,Reviewer,Evidence Link,Executed At,Blocker,Launch Effect
PE-001,Data-flow register completeness,blocked,SYNTHETIC_ONLY,repository,Review every PILOT_DATA_FLOW_REGISTER row,No critical TBD or Missing value for the approved pilot scope,Signed data-flow register,Privacy Owner,Founder,,,Customer-specific scope and review missing,NO_REAL_CUSTOMER_DATA
PE-002,Subprocessor and region inventory,blocked,NO_CUSTOMER_DATA,provider contracts and dashboards,Verify provider role region retention deletion and DPA terms,Every in-scope provider has dated evidence and an accountable decision,Signed subprocessor and region register,Privacy Owner,Security Owner,,,Provider evidence and contracts missing,NO_REAL_CUSTOMER_DATA
PE-003,Tenant isolation drill,blocked,SYNTHETIC_ONLY,disposable non-production tenant,Run positive and negative cross-tenant access tests,Authorized same-tenant access passes and every cross-tenant attempt is denied,Redacted test report with tenant aliases and commit SHA,Security Owner,Privacy Owner,,,Executable drill evidence missing,NO_REAL_CUSTOMER_DATA
PE-004,Data export drill,blocked,SYNTHETIC_ONLY,disposable non-production tenant,Request and produce one tenant-scoped export,Export contains only the synthetic tenant and is complete against the fixture manifest,Export manifest hashes and redacted result,Platform Owner,Privacy Owner,,,Executable drill evidence missing,NO_REAL_CUSTOMER_DATA
PE-005,Data deletion drill,blocked,SYNTHETIC_ONLY,disposable non-production tenant,Delete the synthetic tenant dataset and verify primary stores and documented queues,No retrievable scoped record remains except explicitly documented legal or immutable audit evidence,Deletion manifest before-after counts and exceptions,Platform Owner,Security Owner,,,Backup and queue behavior not evidenced,NO_REAL_CUSTOMER_DATA
PE-006,Suppression and opt-out drill,blocked,SYNTHETIC_ONLY,disposable non-production tenant,Suppress a synthetic contact and attempt re-import and draft eligibility,Suppressed identity cannot be re-imported or become send-eligible,Suppression event and blocked-attempt report,Revenue Owner,Privacy Owner,,,Global suppression evidence missing,NO_LIVE_SEND
PE-007,Breach-response tabletop,blocked,SYNTHETIC_ONLY,tabletop only,Simulate a scoped incident without production mutation,Owner severity clock containment evidence and notification decision are recorded,Timestamped tabletop record and action log,Security Owner,Founder,,,Tabletop has not been evidenced,NO_REAL_CUSTOMER_DATA
PE-008,Backup restore and deletion interaction,blocked,SYNTHETIC_ONLY,disposable non-production environment,Restore a synthetic backup then re-apply deletion and suppression,Restored data cannot bypass deletion or suppression obligations,Backup drill report and exception register,Platform Owner,Security Owner,,,Provider backup controls and drill missing,NO_REAL_CUSTOMER_DATA
PE-009,Cross-border transfer decision,counsel_required,NO_CUSTOMER_DATA,legal review,Review verified system map provider regions and transfer chain,Written accountable decision covers every in-scope personal-data transfer,Counsel memorandum or signed risk decision,Privacy Owner,Founder,,,Saudi counsel decision missing,NO_REAL_CUSTOMER_DATA
PE-010,Pilot DPA and SOW,counsel_required,NO_CUSTOMER_DATA,contract review,Complete customer-specific processing annex and work order,Signed documents match deployed controls data fields region retention and subprocessors,Signed DPA and SOW,Founder,Privacy Owner,,,Customer-specific contract missing,NO_REAL_CUSTOMER_DATA
PE-011,NDGP assessment and DPO DPIA decision,counsel_required,NO_CUSTOMER_DATA,official assessment,Complete the applicable official self-assessment and retain the result,Dated result records registration DPO and DPIA decisions,Assessment export and accountable sign-off,Privacy Owner,Founder,,,Official assessment and decision missing,NO_REAL_CUSTOMER_DATA
PE-012,Production region and configuration verification,blocked,NO_CUSTOMER_DATA,provider dashboard,Re-verify Railway database Vercel logs model providers and analytics regions,Observed configuration matches the signed data-flow and subprocessor registers,Redacted screenshots or provider exports with date,Platform Owner,Security Owner,,,Current deployment regions not fully re-verified,NO_REAL_CUSTOMER_DATA
