machine_id,doc_path,approval_class,owner,kill_switch,worker,audit_path
outbound_draft,docs/growth/OUTBOUND_DRAFT_MACHINE.md,per-message,distribution_operator,DEALIX_DISTRIBUTION_OUTBOUND_ENABLED,distribution_outbound_draft_worker,audit/distribution_outbound_runs.jsonl
linkedin_queue,docs/growth/LINKEDIN_QUEUE_MACHINE.md,per-message,distribution_operator,DEALIX_DISTRIBUTION_LINKEDIN_ENABLED,distribution_linkedin_queue_worker,audit/distribution_linkedin_runs.jsonl
email_draft,docs/growth/EMAIL_DRAFT_MACHINE.md,per-message,distribution_operator,DEALIX_DISTRIBUTION_EMAIL_ENABLED,distribution_email_draft_worker,audit/distribution_email_runs.jsonl
contact_form_queue,docs/growth/CONTACT_FORM_QUEUE_MACHINE.md,per-form,distribution_operator,DEALIX_DISTRIBUTION_CONTACT_FORM_ENABLED,distribution_contact_form_worker,audit/distribution_contact_form_runs.jsonl
follow_up,docs/growth/FOLLOW_UP_MACHINE.md,per-cadence,distribution_operator,DEALIX_DISTRIBUTION_FOLLOW_UP_ENABLED,distribution_follow_up_worker,audit/distribution_follow_up_runs.jsonl
reply_router,docs/growth/REPLY_ROUTER_MACHINE.md,per-reply,sales_operator,DEALIX_DISTRIBUTION_REPLY_ROUTER_ENABLED,distribution_reply_router_worker,audit/distribution_reply_router_runs.jsonl
nurture,docs/growth/NURTURE_MACHINE.md,per-sequence,content_strategist,DEALIX_DISTRIBUTION_NURTURE_ENABLED,distribution_nurture_worker,audit/distribution_nurture_runs.jsonl
partner_referral,docs/growth/PARTNER_REFERRAL_MACHINE.md,per-referral,growth_strategist,DEALIX_DISTRIBUTION_PARTNER_REFERRAL_ENABLED,distribution_partner_referral_worker,audit/distribution_partner_referral_runs.jsonl
abm_strategic_account,docs/growth/ABM_STRATEGIC_ACCOUNT_MACHINE.md,per-account,growth_strategist,DEALIX_DISTRIBUTION_ABM_ENABLED,distribution_abm_worker,audit/distribution_abm_runs.jsonl
proof_to_demand,docs/growth/PROOF_TO_DEMAND_MACHINE.md,per-batch,content_strategist,DEALIX_DISTRIBUTION_PROOF_TO_DEMAND_ENABLED,distribution_proof_to_demand_worker,audit/distribution_proof_to_demand_runs.jsonl
