company_name,website,city,sector,why_target,pain_hypothesis,evidence_url,recommended_angle,recommended_offer,score,status,next_action,owner,notes
[Agency 1 — replace],,Riyadh,B2B marketing agency,Retainer model with stalled client pipelines,Follow-up slips between account managers,,Revenue Map of their own retainer funnel,Command Sprint,0,research,Confirm fit + find warm intro,founder,Fill website + evidence before approving
[Agency 2 — replace],,Jeddah,B2B marketing agency,Scaling team but no single revenue view,No single source of next-action truth,,Executive Command Brief as the weekly decision,Command Sprint,0,research,Confirm fit + find warm intro,founder,
[Consulting 1 — replace],,Riyadh,consulting firm,Project-based revenue with proposal drift,Proposals drift without proof of value,,Proof Register tied to past project outcomes,Command Sprint,0,research,Confirm fit + find warm intro,founder,
[Consulting 2 — replace],,Dammam,consulting firm,Partner-led sales with no pipeline discipline,Opportunities tracked in scattered sheets,,Revenue Map + Next Action Board,Command Sprint,0,research,Confirm fit + find warm intro,founder,
[Training 1 — replace],,Riyadh,training company,Seasonal demand with weak follow-up,Leads go cold between cohorts,,Next Action Board for cohort follow-up,Command Sprint,0,research,Confirm fit + find warm intro,founder,
[Training 2 — replace],,Jeddah,training company,Long corporate training sales cycle,No executive view of pipeline health,,Executive Command Brief for the owner,Command Sprint,0,research,Confirm fit + find warm intro,founder,
[IT Services 1 — replace],,Riyadh,IT service provider,Recurring and project mix with messy handoffs,Sales-to-delivery handoff loses context,,Revenue Map across recurring + project,Command Sprint,0,research,Confirm fit + find warm intro,founder,
[IT Services 2 — replace],,Khobar,IT service provider,Growing MSP with no decision cadence,No weekly one-decision rhythm,,Approval Register + Command Brief cadence,Command Sprint,0,research,Confirm fit + find warm intro,founder,
[Business Services 1 — replace],,Riyadh,business services company,Multiple service lines with unclear priorities,Effort spread thin across service lines,,Revenue Map to rank movable opportunity,Command Sprint,0,research,Confirm fit + find warm intro,founder,
[Business Services 2 — replace],,Jeddah,business services company,Founder-led sales where founder is bottleneck,Founder is the only decision-maker,,Executive Command Brief to offload decisions,Command Sprint,0,research,Confirm fit + find warm intro,founder,
[Agency 3 — replace],,Riyadh,B2B marketing agency,Strong inbound with weak conversion,Inbound leads not worked systematically,,Revenue Map of inbound conversion,Command Sprint,0,research,Confirm fit + find warm intro,founder,
[Consulting 3 — replace],,Riyadh,consulting firm,Referral-heavy with no proof assets,No reusable proof of outcomes,,Proof Register as a sales asset,Command Sprint,0,research,Confirm fit + find warm intro,founder,
