slot_id,company_placeholder,sector,region,why_now_hypothesis_ar,why_now_hypothesis_en,recommended_offer_rung,recommended_offer,suggested_first_touch,current_status,priority,next_action,doctrine_note
T001,هدف warm 25,agency_wedge,KSA (fill city from CRM),retainer before proof,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),"LinkedIn manual DM (warm, founder-typed)",meeting_booked,high,Discovery,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T002,هدف استراتيجي 99,agency_partner,KSA (fill city from CRM),co-sell عميل واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Partner / mutual introduction,meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T003,هدف استراتيجي 114,consulting_firm,KSA (fill city from CRM),عملاء يطلبون أتمتة بلا أدلة,Consulting clients ask for automation without governance; needs a safe diagnostic first.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T004,هدف استراتيجي 129,direct_b2b,KSA (fill city from CRM),متابعة أولى بطيئة,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T005,هدف استراتيجي 144,ecommerce,KSA (fill city from CRM),سلة متروكة بلا قرار إيراد,E-commerce pipeline lacks evidence on lead conversion.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T006,هدف استراتيجي 159,telecom_b2b,KSA (fill city from CRM),حسابات enterprise بلا proof,Telecom B2B needs an executive diagnostic on AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T007,هدف استراتيجي 174,healthcare,KSA (fill city from CRM),متابعة مريض/عميل بلا owner,Healthcare B2B needs PDPL-safe handling of lead data.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T008,هدف استراتيجي 189,crm_partner,KSA (fill city from CRM),تنفيذ CRM قبل التشخيص,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T009,هدف استراتيجي 204,insurance,KSA (fill city from CRM),وثائق leads بلا إغلاق,Insurance B2B has slow first response on inbound quotes.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T010,هدف استراتيجي 219,fintech,KSA (fill city from CRM),leads مالية بلا تسليم Proof,Fintech needs governed diagnostics under regulatory constraint.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
