date,segment,segment_name_ar,company_name,phone,website,address,rating,user_rating_count,google_maps_uri,source,priority_score,pain_angle,transformation_angle,core_offer,high_ticket_offer,status,next_action,owner
2026-06-08,clinics,عيادات ومراكز طبية,Research Target عيادات ومراكز طبية #1,,,Riyadh,,,,research_placeholder,65,الاستفسارات والحجوزات تضيع بين واتساب والمتابعة والتقييمات,تحويل واتساب والتقييمات والمتابعة إلى نظام حجوزات وتقارير يومية,WhatsApp Revenue OS + Review Intelligence OS,AI Business Command Center,research_needed,find_public_contact,Sami
2026-06-08,clinics,عيادات ومراكز طبية,Research Target عيادات ومراكز طبية #2,,,Riyadh,,,,research_placeholder,65,الاستفسارات والحجوزات تضيع بين واتساب والمتابعة والتقييمات,تحويل واتساب والتقييمات والمتابعة إلى نظام حجوزات وتقارير يومية,WhatsApp Revenue OS + Review Intelligence OS,AI Business Command Center,research_needed,find_public_contact,Sami
2026-06-08,training_centers,مراكز تدريب ومعاهد,Research Target مراكز تدريب ومعاهد #1,,,Riyadh,,,,research_placeholder,60,leads الدورات لا تتحول إلى تسجيلات بسبب ضعف المتابعة,تحويل الاستفسارات إلى pipeline تسجيل ومتابعة وتقارير,Growth Engine OS,Command Center OS,research_needed,find_public_contact,Sami
2026-06-08,training_centers,مراكز تدريب ومعاهد,Research Target مراكز تدريب ومعاهد #2,,,Riyadh,,,,research_placeholder,60,leads الدورات لا تتحول إلى تسجيلات بسبب ضعف المتابعة,تحويل الاستفسارات إلى pipeline تسجيل ومتابعة وتقارير,Growth Engine OS,Command Center OS,research_needed,find_public_contact,Sami
2026-06-08,agencies,وكالات تسويق,Research Target وكالات تسويق #1,,,Riyadh,,,,research_placeholder,55,تقارير العملاء والمهام والتسليم متفرقة,ربط العملاء، المهام، التقارير، والهوية في نظام واحد,Client Command Center OS,Brand Intelligence OS + Executive Reporting OS,research_needed,find_public_contact,Sami
2026-06-08,agencies,وكالات تسويق,Research Target وكالات تسويق #2,,,Riyadh,,,,research_placeholder,55,تقارير العملاء والمهام والتسليم متفرقة,ربط العملاء، المهام، التقارير، والهوية في نظام واحد,Client Command Center OS,Brand Intelligence OS + Executive Reporting OS,research_needed,find_public_contact,Sami
2026-06-08,restaurants,مطاعم وكافيهات,Research Target مطاعم وكافيهات #1,,,Riyadh,,,,research_placeholder,50,التقييمات والشكاوى لا تتحول إلى قرارات تشغيلية,تحويل صوت العميل إلى قرارات للفروع والتشغيل والهوية,Review Intelligence OS,Customer Experience OS,research_needed,find_public_contact,Sami
2026-06-08,restaurants,مطاعم وكافيهات,Research Target مطاعم وكافيهات #2,,,Riyadh,,,,research_placeholder,50,التقييمات والشكاوى لا تتحول إلى قرارات تشغيلية,تحويل صوت العميل إلى قرارات للفروع والتشغيل والهوية,Review Intelligence OS,Customer Experience OS,research_needed,find_public_contact,Sami
2026-06-08,real_estate,عقار وخدمات B2B,Research Target عقار وخدمات B2B #1,,,Riyadh,,,,research_placeholder,45,العملاء والعروض تحتاج متابعة طويلة وتضيع بدون نظام,تحويل leads والعروض إلى pipeline واضح مع follow-up,Sales Pipeline OS,Proposal & Follow-up OS,research_needed,find_public_contact,Sami
2026-06-08,real_estate,عقار وخدمات B2B,Research Target عقار وخدمات B2B #2,,,Riyadh,,,,research_placeholder,45,العملاء والعروض تحتاج متابعة طويلة وتضيع بدون نظام,تحويل leads والعروض إلى pipeline واضح مع follow-up,Sales Pipeline OS,Proposal & Follow-up OS,research_needed,find_public_contact,Sami
