company,contact,segment,pain_hypothesis,channel,motion,offer_id,status,next_action,next_action_date,priority,notes,city,sector,tier,why_now,source_type,source_url,contact_status
MAZ NEXA,,agency_wedge,"العميل يسأل: ماذا حدث بعد الحملة؟ — لا proof أسبوعي بمصدر",warm_intro,A,ten_lead_audit,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,high,"وكالة أداء/Inbound — HubSpot",Riyadh,marketing_agency,smb,"ضغط إثبات ROI لعملائها → wedge: 10-lead audit + proof أسبوعي",public_business_info,https://www.maznexa.sa/en/,needs_warm_intro
WASFA Digital,,agency_wedge,"CRM مليان leads بلا owner للمتابعة",warm_intro,A,ten_lead_audit,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,high,"وكالة تسويق رقمي — الرياض",Riyadh,marketing_agency,smb,"نمو محفظة العملاء → حاجة متابعة محكومة + تقارير بمصدر",public_business_info,https://digitalwasfa.com/,needs_warm_intro
Bytes Future,,agency_wedge,"تقارير حملات بلا مصدر موحّد عبر العملاء",warm_intro,A,agency_proof_pack,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,high,"وكالة full-service — KSA/UAE/BH",Riyadh,marketing_agency,smb,"توسّع إقليمي → حاجة proof pack موحّد للعملاء",public_business_info,https://bytesfuture.com/en/,needs_warm_intro
DSS-AI,,agency_wedge,"lead-gen B2B بلا حوكمة موافقة/مصدر",warm_intro,A,ten_lead_audit,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"وكالة lead-gen B2B",Riyadh,marketing_agency,smb,"خدمتها lead-gen → fit مباشر مع Dealix governance",public_business_info,https://dss-ai.com/,needs_warm_intro
Foodics,,saas,"قاعدة +30k مطعم → متابعة إيراد/توسّع بلا مصدر موحّد",warm_intro,A,data_to_revenue_pack,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,high,"RestaurantTech + Payments — رائد MENA",Riyadh,saas,midmarket,"توسّع مصر/MENA → RevOps محكومة قبل التوسّع",public_business_info,https://www.foodics.com/,needs_warm_intro
Salla,,saas,"قاعدة تجار ضخمة → متابعة merchant success بلا حوكمة",warm_intro,A,data_to_revenue_pack,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,high,"منصة تجارة إلكترونية — pre-IPO",Jeddah,saas,midmarket,"استثمار pre-IPO 130M$ → ضغط حوكمة قبل الإدراج",public_business_info,https://www.arabnews.com/node/2584723,needs_warm_intro
Zid,,saas,"تجار كثر بقنوات دعم متعددة بلا مسار موافقة",warm_intro,A,data_to_revenue_pack,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,high,"منصة متاجر إلكترونية — الرياض",Riyadh,saas,midmarket,"منافسة Salla → حاجة تمييز بحوكمة إيراد",public_business_info,https://www.arabnews.com/node/2584723,needs_warm_intro
Rewaa,,saas,"+7000 تاجر → دعم/تجديد بلا مصدر بيانات موحّد",warm_intro,A,data_to_revenue_pack,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,high,"نظام إدارة تجزئة — Series A",Riyadh,saas,midmarket,"نمو سريع (7B SAR معالَجة) → RevOps محكومة",public_business_info,https://tracxn.com/d/explore/saas-startups-in-saudi-arabia/,needs_warm_intro
Sary,,saas,"marketplace B2B → متابعة موردين/مشترين بلا حوكمة موحّدة",warm_intro,A,data_to_revenue_pack,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"سوق جملة B2B (FMCG)",Riyadh,saas,midmarket,"توسّع جغرافي + ائتمان → حوكمة إيراد",public_business_info,https://www.arabnews.com/node/1855136,needs_warm_intro
Retailo,,saas,"marketplace B2B → تحويل/احتفاظ بلا مصدر موحّد",warm_intro,A,data_to_revenue_pack,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"سوق تجزئة B2B",Riyadh,saas,midmarket,"تمويل بذرة → بناء RevOps مبكّر",public_business_info,https://www.arabnews.com/node/1855136,needs_warm_intro
OTO,,saas,"عملاء شحن كثر → onboarding/توسّع بلا proof موحّد",warm_intro,A,data_to_revenue_pack,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"SaaS إدارة شحن omni-channel",Riyadh,saas,smb,"نمو تجار → حاجة proof of value منهجي",public_business_info,https://www.nucamp.co/blog/coding-bootcamp-saudi-arabia-sau-saudi-arabias-top-10-startups-that-tech-professionals-should-watch-out-for-in-2025,needs_warm_intro
Unifonic,,saas,"رسائل عملاء بحجم كبير → حوكمة موافقة/امتثال",warm_intro,D,executive_diagnostic,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"CPaaS — تواصل سحابي",Riyadh,saas,midmarket,"تمويل 125M$ → fit مع approval/PDPL governance",public_business_info,https://www.zoominfo.com/c/unifonic-inc/370587041,needs_warm_intro
Lean Technologies,,saas,"عملاء fintech → حوكمة بيانات/موافقة قبل AI",warm_intro,D,executive_diagnostic,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"Open finance APIs",Riyadh,saas,midmarket,"بنية تحتية مالية → حساسية حوكمة عالية",public_business_info,https://www.techstars.com/newsroom/techstars-mcit-raed-ventures-and-saudi-national-bank-announce-the,needs_warm_intro
LAWAZEM,,saas,"مشتريات B2B → متابعة عملاء/توسّع بلا مصدر موحّد",warm_intro,A,data_to_revenue_pack,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"SaaS مشتريات B2B",Riyadh,saas,smb,"نمو 150% ربعي → RevOps مبكّر",public_business_info,https://www.nucamp.co/blog/coding-bootcamp-saudi-arabia-sau-saudi-arabias-top-10-startups-that-tech-professionals-should-watch-out-for-in-2025,needs_warm_intro
BRKZ,,saas,"marketplace إنشاءات → متابعة صفقات بلا حوكمة",warm_intro,A,data_to_revenue_pack,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,low,"ConstructionTech B2B",Riyadh,saas,smb,"قطاع إنشاءات Vision 2030 → نمو صفقات",public_business_info,https://tracxn.com/d/explore/b2b-e-commerce-startups-in-saudi-arabia/,needs_warm_intro
Mozn,,ai_without_governance,"حلول AI/RegTech → حاجة evidence trail للعملاء",warm_intro,D,executive_diagnostic,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"AI/RegTech — مكافحة احتيال",Riyadh,saas,midmarket,"AI governance fit مباشر — شريك/عميل محتمل",public_business_info,https://www.nucamp.co/blog/coding-bootcamp-saudi-arabia-sau-inside-saudi-arabias-thriving-tech-hub-startups-and-success-stories,needs_warm_intro
ROSHN,,real_estate,"leads عقارية بقنوات متعددة بلا مسار موافقة/مصدر",warm_intro,D,executive_diagnostic,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"مطوّر عقاري — PIF",Riyadh,real_estate,enterprise,"إطلاقات مجتمعات كبرى → ضغط تحويل leads",public_business_info,https://www.mordorintelligence.com/industry-reports/saudi-arabia-real-estate-market/companies,needs_warm_intro
Dar Al Arkan,,real_estate,"محفظة ضخمة → متابعة مبيعات بلا مصدر موحّد",warm_intro,D,executive_diagnostic,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"أكبر مطوّر مدرَج",Riyadh,real_estate,enterprise,"توسّع محلي/دولي → حوكمة إيراد",public_business_info,https://arabmls.org/top-10-real-estate-companies-in-saudi-arabia/,needs_warm_intro
Saudi Real Estate Company (Al Akaria),,real_estate,"مشاريع متعددة → leads بلا متابعة محكومة",warm_intro,D,executive_diagnostic,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,low,"أقدم مطوّر (1976)",Riyadh,real_estate,enterprise,"مشاريع Sedra/Al Arous → تحويل leads",public_business_info,https://www.mordorintelligence.com/industry-reports/saudi-arabia-real-estate-market/companies,needs_warm_intro
Rafal Real Estate,,real_estate,"مبيعات وحدات → متابعة عملاء بلا مصدر",warm_intro,D,executive_diagnostic,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,low,"مطوّر سكني/تجاري",Riyadh,real_estate,midmarket,"مشاريع راقية → تحويل leads عالي القيمة",public_business_info,https://www.madaproperties.sa/en/blogs/top-property-developers-in-riyadh-i-dynamo-of-vision-2030,needs_warm_intro
AlMeswak Dental Clinics,,clinic_lead_followup,"+90 فرع → مواعيد/leads تتسرّب بين الفروع",warm_intro,D,executive_diagnostic,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"أكبر سلسلة أسنان/جلدية",Riyadh,healthcare,enterprise,"+37 مدينة → تشتت متابعة leads",public_business_info,https://www.cbinsights.com/company/almeswak-dental-clinics,needs_warm_intro
Al Muhaideb Dental Group,,clinic_lead_followup,"46 عيادة → متابعة حجوزات بلا مسار موافقة موحّد",warm_intro,D,executive_diagnostic,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,medium,"مجموعة عيادات أسنان",Riyadh,healthcare,midmarket,"استحواذ/توسّع → حوكمة متابعة leads",public_business_info,https://uems.ae/?p=2646,needs_warm_intro
Rama Clinics,,clinic_lead_followup,"فروع متعددة → leads تسويق بلا متابعة محكومة",warm_intro,A,ten_lead_audit,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,low,"عيادات متعددة التخصص",Riyadh,healthcare,smb,"نمو فروع → تسرّب leads",public_business_info,https://www.zoominfo.com/top-lists/top-dental-practice-management-companies-in-SA,needs_warm_intro
Abeer Group,,clinic_lead_followup,"مستشفيات/عيادات بمدن متعددة → متابعة موحّدة",warm_intro,D,executive_diagnostic,not_contacted,"احصل على مقدمة دافئة قبل أي تواصل — لا إرسال بارد",,low,"مجموعة رعاية صحية",Jeddah,healthcare,midmarket,"حضور متعدد المدن → توحيد متابعة leads",public_business_info,https://www.abeergroup.com/ksa/Services/Dental.aspx,needs_warm_intro
